Name;Completed;Total;Score;Completed Bonus
F41RYT41L;11;11;2763;No
Chema38;11;11;2503;No
Queen Dia;11;11;2451;No
1T4CHI;11;11;2380;No
kvothe 19;11;11;2332;No
M1R4J4N3;11;11;2324;No
ES ALE 94;11;11;2323;No
ES YOL 63;11;11;2321;No
ES DSL 20;11;11;2306;No
Drizztlugo;11;11;2298;No
Guenyiar;11;11;2294;No
ES KIRA 17;11;11;2290;No
Wotam;11;11;2289;No
ES LIA;11;11;2270;No
M14a1;11;11;2269;No
Akita v;11;11;2255;No
ES VALLEKA0;11;11;2245;No
ES SANA 62;11;11;2238;No
Heviel;11;11;2211;No
MF FBI Agent;11;11;2211;No
TWICE OT9;11;11;2197;No
Valroc;11;11;2188;No
54K4K1 RY0K0;10;11;2187;No
vihenna00;11;11;2184;No
Yako57;11;11;2172;No
ninobravo;11;11;2157;No
Jarlaxe;11;11;2122;No
Nico Robin26;11;11;2098;No
felipe l pro;11;11;2095;No
MF YukariShi;11;11;2084;No
1e kalox;11;11;2081;No
35D34TH;10;11;2076;No
Serch Lopez;11;11;2065;No
juligan;11;11;2045;No
ES VLC73;11;11;2040;No
Ako Ako 98;11;11;2036;No
omegasclmb;10;11;2032;No
Lugo75;11;11;2031;No
Joseluv;11;11;2027;No
shiro128;11;11;2027;No
rocky5t;11;11;2025;No
miya musashi;11;11;2022;No
rambito li;11;11;2019;No
Checho801;11;11;2014;No
A N D E R D;11;11;2006;No
1eOmegaclmb;11;11;2001;No
mala yerba;11;11;2000;No
tony2881;11;11;1999;No
Namysam;11;11;1998;No
LYK3R;11;11;1996;No
Ako ako II;11;11;1993;No
lokokuerdo;11;11;1990;No
falete222;11;11;1987;No
zT Tian;11;11;1983;No
MF YukariSid;11;11;1977;No
iKarensita;11;11;1976;No
ODIN m;11;11;1975;No
torrente2020;11;11;1970;No
Javierblan;11;11;1969;No
limite1;11;11;1965;No
Rey Ali;11;11;1964;No
Radhamantyss;11;11;1955;No
XxSeruhioXx;11;11;1949;No
LOKI mn;11;11;1948;No
Mr Juanzhito;9;11;1941;No
monky120;11;11;1938;No
1e DEMOLEDOR;11;11;1938;No
Valle10;11;11;1932;No
Lau sirstone;11;11;1931;No
KarenxiTq;11;11;1931;No
libaoo;11;11;1916;No
06saske;10;11;1914;No
ZAPZDOR;11;11;1911;No
keanelove;11;11;1907;No
Ave Fenix vr;10;11;1904;No
limite12;11;11;1901;No
DragonHouse;11;11;1901;No
iGrizTal;11;11;1897;No
arubiac;11;11;1893;No
laUmikeltron;11;11;1878;No
Pel1;11;11;1876;No
DarkLord 0;11;11;1871;No
Karenzitq;9;11;1850;No
Darkeysi;10;11;1847;No
DRAKO rc;11;11;1840;No
mrbulllzz221;10;11;1835;No
lordDanny00;10;11;1815;No
Diasus;10;11;1697;No
jog2;5;5;920;No
MF YukariBob;2;3;327;No
vikingo;0;1;0;No
Elsin;0;0;0;No
sarily;0;0;0;No
