Name;Completed;Total;Score;Completed Bonus
darkking1;9;9;1805;No
Hie12;9;9;1793;No
Brayan1109;9;9;1778;No
REY SUPR3MO;9;9;1659;No
Chechu0525;9;9;1563;No
Ragnarok GD;9;9;1546;No
DeikerMX;9;9;1530;No
AMR97;9;9;1482;No
EJC HERCULES;9;9;1465;No
R3Y DE REY3S;9;9;1443;No
Reina Glori;9;9;1441;No
Philipspro07;9;9;1427;No
jpsg0000;9;9;1418;No
EJC GUERRECO;9;9;1413;No
fern0123;9;9;1412;No
LuisGon10;9;9;1398;No
mendez 93;9;9;1380;No
Alvin0525;9;9;1378;No
felp031;9;9;1378;No
EJC MAXIMUS;9;9;1363;No
Philipsproo4;9;9;1357;No
Diego26C;9;9;1352;No
t3qu3;9;9;1347;No
JuveS5;9;9;1345;No
bangbang231;8;9;1343;No
Coquena;9;9;1341;No
Foo12;9;9;1339;No
KanAnikila;8;9;1330;No
Rad Ghost;9;9;1319;No
rayo1977;9;9;1318;No
fernjr;9;9;1316;No
Don Gloton;9;9;1304;No
mixrh;8;9;1304;No
bmale;9;9;1297;No
Philipsproo2;9;9;1296;No
Philipsproo3;9;9;1293;No
CrazyBomb1;9;9;1277;No
CaRoS 77;9;9;1277;No
DaMiedo;9;9;1261;No
Marino1234;8;9;1259;No
BBIT0 FIUFIU;8;9;1257;No
Philipspro06;9;9;1242;No
jesus 23;7;7;1239;No
Philipspro0;8;9;1236;No
MARINO12;8;9;1236;No
DonRamon77;9;9;1206;No
kronosDG;8;9;1185;No
DiegoC26;8;8;1175;No
Lolito  Kax;8;8;1140;No
Julve15;8;9;1135;No
pecosa1977;7;9;1100;No
O5CURIDAD;6;6;1093;No
Philipsproo5;7;9;1018;No
TICOMETAL;7;9;1014;No
BeeSam;6;8;887;No
ZzzzW8zzzZ;5;6;762;No
PANDA 2023;5;6;721;No
Perez1109;5;5;706;No
EJC STREETFI;4;5;581;No
LexDiv1na;4;6;573;No
PIKULISIT0;4;5;570;No
AndresZapata;4;5;567;No
DESTAJADOR83;4;7;557;No
EJC JUEGOLOR;3;4;443;No
EJC NUEVOLOR;3;5;435;No
RJwithLuuv;2;2;302;No
R3Y PELIGRO;1;2;144;No
PINOCHO1;0;0;0;No
EJC ASRAEL;0;0;0;No
EJC YOGUI;0;0;0;No
EJC PITUFO;0;0;0;No
EJC PIOLIN;0;0;0;No
EJC COYOTE;0;0;0;No
abuelo 50;0;0;0;No
EJC RUNING01;0;0;0;No
EJC GORDON01;0;0;0;No
EJC FLASH01;0;0;0;No
EJC POWER01;0;0;0;No
EJC SUGAR01;0;0;0;No
EJC THORPOWE;0;0;0;No
EJC CICLOPE1;0;0;0;No
EJC ARES1;0;0;0;No
EJC ZEUS 1;0;0;0;No
EJC HEFESTO1;0;0;0;No
EJC ODISEO 1;0;0;0;No
EJC PERSEO 1;0;0;0;No
EJC SANSON;0;0;0;No
EJC GUERREGO;0;1;0;No
86jdl86jdl;0;0;0;No
