Name;Completed;Total;Score;Completed Bonus
DK ABL;10;10;2199;No
DK AOME;10;10;2137;No
QUEEN NAMI;10;10;2118;No
th3 BeastxX;10;10;2084;No
Catracha;9;10;2081;No
elvisnav656;10;10;2080;No
DK Guzman;10;10;2078;No
DK  DARK;10;10;2071;No
Mini Mini 1;10;10;2068;No
Minilion7;10;10;2060;No
DK MISHA;10;10;2056;No
Catrachita;10;10;2046;No
DK B A N K;10;10;2035;No
DK ANA;10;10;2032;No
abonor1;10;10;2020;No
Carlos 901;10;10;2018;No
LunasMan;9;10;2005;No
DK FANG;10;10;2002;No
TU PUTITA;9;10;1990;No
lactor65;10;10;1986;No
Sugar Nami;10;10;1981;No
CERBERO 0000;10;10;1972;No
DK NICOL;10;10;1963;No
DK Rascal;10;10;1962;No
Amortiguador;10;10;1959;No
DK SETH;10;10;1956;No
Man Go Home;10;10;1942;No
Mini Anita;10;10;1939;No
Zeldriz12;9;9;1939;No
DK Y4NG;10;10;1935;No
luisilloo00;10;10;1935;No
NOinmortal;10;10;1931;No
TU MA CHO;10;10;1923;No
DK CATRACHA;9;10;1922;No
Queenlion22;10;10;1914;No
LIONKING HDe;10;10;1898;No
Guerrero lgd;10;10;1894;No
xzouxx123;10;10;1888;No
Lionbaby26;10;10;1888;No
lionsilver7;10;10;1861;No
B4RRAKUS;10;10;1853;No
Lionprince19;10;10;1849;No
bato loco;10;10;1845;No
DK Inmortal;10;10;1842;No
Duqe999;10;10;1839;No
GGG ll;10;10;1839;No
CV Oussama;10;10;1824;No
XxHarley xX;10;10;1819;No
XxLUNA xX;10;10;1819;No
DK Anitta;9;10;1819;No
Guerrenogue;10;10;1812;No
FredyMorales;9;10;1788;No
x Z0ux x;10;10;1787;No
DK Y1NG;10;10;1778;No
Big Akiles;10;10;1777;No
teQuila2;10;10;1765;No
NauN;9;9;1764;No
SPARCK J;9;10;1751;No
KG Azteka;10;10;1746;No
kraken one;10;10;1739;No
xXyankeeXx;10;10;1739;No
cleopatra 20;10;10;1730;No
Dead River;10;10;1728;No
Ibra 14;9;10;1725;No
Garp2021;10;10;1714;No
Ripple x;9;9;1704;No
Petette;10;10;1697;No
MoisesGSX1;8;8;1680;No
DK ESTAMPA;10;10;1679;No
A Tiger A;10;10;1665;No
FredyMorale;9;10;1661;No
LordMacr;10;10;1657;No
RisingDead;9;10;1651;No
Lord JJDH;10;10;1633;No
luisitoo11;9;10;1613;No
Devastador07;9;10;1611;No
NaStAr2420;9;10;1601;No
aa Aqua aa;9;9;1596;No
HiDeoN433;9;9;1592;No
WILO95;9;10;1590;No
GingiAmano;10;10;1590;No
DZ baba Yaga;9;9;1572;No
CERBERO 0002;10;10;1540;No
xXCHIMUEL0Xx;8;8;1431;No
Jolex21;7;8;1430;No
CALDERONI;7;7;1272;No
Bartfort;8;10;1209;No
Robert969;7;7;1177;No
Ayankouji;6;6;1138;No
BLACK VEN0M;8;9;1110;No
KD Edilson;6;6;1023;No
JOKER SE;5;5;897;No
V MxxxxM;0;0;0;No
XGargolaX;0;0;0;No
