Name;Completed;Total;Score;Completed Bonus
Salva100;9;9;1709;No
Jobolu;9;9;1642;No
Javier 1313;9;9;1559;No
A SAD 1;9;9;1530;No
Reina I;9;9;1507;No
Mustafunk;9;9;1500;No
Helena I;9;9;1484;No
ISalvatoreI;9;9;1482;No
SATANAS A;9;9;1476;No
REY LAGARTO;9;9;1464;No
Carl0s007;9;9;1460;No
ElenadTroya;9;9;1450;No
Dhanielo;9;9;1450;No
LadyMdusa;9;9;1444;No
camaleonking;9;9;1444;No
Donisaac;9;9;1440;No
xXLuThoRXx;9;9;1431;No
x IGUANA x;9;9;1428;No
Andres37;9;9;1426;No
khalidcroc;9;9;1418;No
hector 1234;8;9;1417;No
solreina;9;9;1410;No
ReinadHielo;9;9;1406;No
xXLuTh0rXx;9;9;1396;No
nenocoketo 9;9;9;1388;No
iguanilla;9;9;1381;No
Coronel10;9;9;1381;No
flamenking;9;9;1380;No
PunisherIsma;9;9;1378;No
sol lit;9;9;1377;No
alex160895;9;9;1372;No
Aldemar C;9;9;1370;No
valee   22;9;9;1366;No
Bank M0RIA;9;9;1360;No
Alejandro 95;9;9;1359;No
3l gladiador;9;9;1359;No
brantee;9;9;1357;No
angelo98981;9;9;1340;No
Raptor1221;9;9;1326;No
Devis;9;9;1318;No
Javit08;8;8;1311;No
carlos0007;9;9;1311;No
khalidtortue;9;9;1308;No
gelhidro;9;9;1306;No
Sir Enerway;9;9;1304;No
Pitbull king;8;8;1301;No
JULIO CSAR 3;9;9;1297;No
canitaman;9;9;1272;No
ajjajjwjndjx;9;9;1262;No
xTROSSx;9;9;1254;No
Papox;9;9;1221;No
V KuRaMa V;8;8;1141;No
carloso007;8;9;1127;No
Fernando1x;7;9;1124;No
coco crocodi;7;9;1091;No
Lord Chars;8;8;1075;No
IISL4iF3RII;7;9;1059;No
Belly Dancer;7;9;1056;No
aluvion;7;7;1024;No
Thanoz C;7;7;996;No
Y U K O N;7;8;982;No
solitario 00;6;6;932;No
Kurusaki 10;6;7;854;No
REYDELNORTE;6;7;799;No
ELMEXICANO;5;5;749;No
GIN WOO;5;5;691;No
Spencer 98;4;4;564;No
BANK RUB1US;2;2;370;No
ANTHONY 30;1;2;165;No
ODEIMER2;0;0;0;No
kazutora 96;0;0;0;No
T3oKl3S;0;0;0;No
sr biilz;0;0;0;No
PEKA COIHUES;0;0;0;No
PEKA FAW;0;1;0;No
KRATOS FAW;0;0;0;No
Alex 1243;0;0;0;No
ChapulinRojo;0;0;0;No
Donal Truk;0;0;0;No
