Name;Completed;Total;Score;Completed Bonus
Jobolu;9;9;1605;No
Javier 1313;9;9;1590;No
Salva100;9;9;1569;No
Thiaguiito;9;9;1568;No
SATANAS A;9;9;1558;No
Platanito323;9;9;1542;No
Reina I;9;9;1535;No
LadyMdusa;9;9;1523;No
Ammy02;9;9;1500;No
A SAD 1;9;9;1484;No
Bank M0RIA;9;9;1476;No
XkingLuisX;9;9;1475;No
Dhanielo;9;9;1474;No
flamenking;9;9;1471;No
REY LAGARTO;9;9;1462;No
Aldemar C;9;9;1444;No
ISalvatoreI;9;9;1439;No
XkingLuisX1;9;9;1438;No
XkingLuisX3;9;9;1432;No
Sir Enerway;9;9;1430;No
khalidtortue;9;9;1428;No
hector 1234;8;9;1424;No
gelhidro;9;9;1424;No
1Tamy;9;9;1413;No
AtamiZeta;9;9;1403;No
alee33;9;9;1403;No
tumamaentaga;9;9;1403;No
Mustafunk;9;9;1402;No
solreina;9;9;1402;No
khalidcroc;9;9;1399;No
coco crocodi;9;9;1398;No
Helena I;9;9;1386;No
PunisherIsma;9;9;1378;No
EL ANONIMO1;9;9;1374;No
x IGUANA x;9;9;1372;No
iguanilla;9;9;1362;No
REYDELNORTE;9;9;1346;No
Raptor1221;9;9;1334;No
ElenadTroya;9;9;1331;No
Coronel10;9;9;1330;No
3l gladiador;9;9;1325;No
ReinadHielo;9;9;1323;No
sol lit;9;9;1312;No
ArMaN 10;9;9;1310;No
nenocoketo 9;9;9;1310;No
Devis;9;9;1301;No
carloso007;9;9;1289;No
brantee;9;9;1278;No
Alejandro 95;8;9;1266;No
BotFrankii;8;8;1264;No
Aalexa12;8;9;1259;No
JULIO CSAR 3;9;9;1256;No
Belly Dancer;9;9;1237;No
IISL4iF3RII;8;8;1225;No
angelo98981;9;9;1216;No
xTROSSx;8;8;1205;No
El superTamy;8;8;1201;No
Donisaac;8;8;1195;No
ELMEXICANO;8;8;1184;No
valee   22;8;9;1180;No
V KuRaMa V;8;8;1175;No
camaleonking;8;9;1170;No
PEKA FAW;9;9;1163;No
Kurusaki 10;8;9;1161;No
KRATOS FAW;9;9;1159;No
Carl0s007;8;9;1145;No
Thanoz C;8;8;1123;No
Papox;8;9;1114;No
Y U K O N;8;8;1109;No
alex160895;7;8;1041;No
Pitbull king;7;8;1014;No
solitario 00;6;6;1008;No
Davidllll;7;7;993;No
Fernando1x;7;9;992;No
banko faw;9;9;988;No
canitaman;9;9;984;No
sr biilz;8;9;922;No
Javit08;6;6;920;No
carlos0007;8;9;918;No
Lord Chars;6;7;868;No
aluvion;5;5;719;No
ANTHONY 30;3;3;514;No
StealBoy;1;2;144;No
Mefistopolis;1;1;138;No
Gezarius;0;0;0;No
StockHolms;0;0;0;No
GrossSturm;0;0;0;No
DanTaliano;0;0;0;No
Fijeron;0;0;0;No
XkingLuisX2;0;0;0;No
3el mal;0;0;0;No
Spencer 98;0;0;0;No
