Name;Completed;Total;Score;Completed Bonus
Uriel 25;10;10;2391;No
Darkcod;10;10;2292;No
SIN ALMA;10;10;2278;No
Crazy Apple;10;10;2189;No
XxTurGuTxX;10;10;2121;No
LORD ISRAFEL;10;10;2105;No
Anton200;10;10;2063;No
Cores;10;10;2062;No
Lazy Reader;10;10;2057;No
Delsy14;10;10;2050;No
ARKERAOSCURA;10;10;2031;No
Knight Lute;10;10;2018;No
ElTrabuco202;10;10;2012;No
JASP Cosmos;10;10;2011;No
DanielCPM;10;10;2010;No
Ven Ktecacho;10;10;2010;No
Tuerto;10;10;2010;No
Akitedoy;10;10;2010;No
toma toma ch;10;10;1984;No
SPaRRoWdark;10;10;1970;No
FugasDark;10;10;1961;No
bocajrss;10;10;1947;No
Truqui;10;10;1933;No
Dinamita000;10;10;1932;No
Amaro Snappe;10;10;1927;No
BLACK BARTD;10;10;1915;No
CryWolf0000o;10;10;1906;No
RaMiiReZz24;10;10;1901;No
Hinata198;10;10;1898;No
YINGYANG SOO;10;10;1886;No
LordFranking;10;10;1882;No
minipirata;10;10;1873;No
craxus;10;10;1869;No
Dragonear;10;10;1862;No
RockDXebe;10;10;1858;No
CapitanLuffy;10;10;1848;No
Huntsman198;10;10;1845;No
Dixon93;9;9;1831;No
RaMiiReZz1;10;10;1829;No
castle B5G;10;10;1823;No
arkdarkangel;10;10;1820;No
hasan dmr;10;10;1801;No
Delsy;10;10;1798;No
stev123;9;10;1797;No
Franking127;9;10;1791;No
WellingtonGF;10;10;1785;No
Dixon124;9;9;1781;No
AlexGeoo;10;10;1773;No
RaMiiReZz;10;10;1762;No
ViperIA;10;10;1760;No
FugasBrave;10;10;1751;No
MapleQoQleaf;10;10;1742;No
EL  MATADOR7;9;10;1737;No
Whitey Bay;10;10;1730;No
best bby;9;10;1728;No
Fug4s;10;10;1720;No
MacArthor;10;10;1707;No
Gemini 09;10;10;1692;No
mvk11;9;10;1684;No
Minh hp;10;10;1683;No
FiberIA;9;10;1671;No
Punchxxx;10;10;1670;No
VALIR LM;9;10;1667;No
Fortus2556;10;10;1646;No
I N X 92;10;10;1645;No
d r 11;10;10;1641;No
nljorge2015;9;10;1638;No
Tholin;10;10;1633;No
Ningguan;10;10;1626;No
m siu;9;10;1620;No
Agent 89;9;10;1601;No
Pak0o;9;10;1589;No
tesoropirata;9;10;1584;No
fire queenJ;9;10;1571;No
alex2131;8;10;1571;No
OldwarriorR;8;9;1388;No
YHONNY MT;10;10;1341;No
M1ST3RI0;7;7;1141;No
Reii ArthUr;6;8;1032;No
Joss  Lr;4;5;833;No
alex 2031;4;5;617;No
Juani cd;0;0;0;No
Cristofer76;0;0;0;No
Castlewar;0;0;0;No
esperion2019;0;1;0;No
