Name;Completed;Total;Score;Completed Bonus
COMIDAI6I;9;9;1844;No
QuieroPapa;9;9;1809;No
I80;9;9;1618;No
Pelus0;9;9;1603;No
SULKIRA;9;9;1577;No
PIEDRAI29;9;9;1566;No
012I;9;9;1539;No
Nime Mires;9;9;1534;No
MINERAL29;8;9;1527;No
Espiachino;9;9;1514;No
Aguila11;9;9;1507;No
LordMaragon;9;9;1486;No
lazymojito;9;9;1483;No
MUNDOLOGIA;9;9;1481;No
Miguel1280;9;9;1475;No
HOOR60;9;9;1468;No
k5Eduardo;9;9;1465;No
Teancum;8;8;1461;No
Calbillo;9;9;1460;No
MANUEL 64;9;9;1450;No
BurNmaXx;9;9;1422;No
SC4RLETT;9;9;1420;No
ripul 94;8;8;1416;No
mausito;9;9;1412;No
Olli Stark;9;9;1403;No
LvkAs;9;9;1399;No
G3MINIS 0;9;9;1374;No
SULKI64;9;9;1373;No
Numero 7;7;7;1368;No
TIBIRITABARA;9;9;1365;No
LK PRESAGIOZ;9;9;1362;No
mausoleo 10;8;8;1359;No
dariogrande1;9;9;1358;No
sh3vsh3nc0;9;9;1340;No
chinchulin72;9;9;1338;No
J MANUEL 5;9;9;1331;No
Acuabb;8;8;1326;No
JUXEL II;8;8;1320;No
VileplumePy;8;9;1306;No
Ave fenix a;8;9;1302;No
BartMovil;9;9;1299;No
NAirobi S;9;9;1293;No
Selvin502;9;9;1259;No
Ant0n32;9;9;1212;No
LK MIKE;8;8;1201;No
Wakand4;8;8;1182;No
DarkGh0st;7;8;1153;No
FreenBeckyyy;7;8;1150;No
BALDUR43;7;7;1146;No
MARC3L0;8;9;1146;No
I13I;7;7;1127;No
Iriz0o;9;9;1115;No
COMIDAI4I;7;7;1105;No
011I;6;6;1084;No
010I;6;6;1081;No
AAcua;7;7;1078;No
the sniper 1;7;7;1063;No
Numero 9;4;4;1044;No
COMIDAI5I;8;9;1002;No
ELDEX2;7;9;965;No
Kwan Hye;9;9;910;No
WALK1NG;6;6;863;No
OdiseoV;6;8;842;No
Purepecha81;4;4;678;No
LILITH 7516;4;5;644;No
Riccos;4;5;581;No
DrunkenDodo;3;3;449;No
Riccoss;4;4;423;No
Juancho10;3;3;400;No
BaldurMini;2;2;339;No
Drack91;1;1;214;No
Mabel 20;1;2;168;No
