Name;Completed;Total;Score;Completed Bonus
QuieroPapa;9;9;1613;No
BurNmaXx;9;9;1598;No
DarkGh0st;9;9;1586;No
LvkAs;9;9;1580;No
TIBIRITABARA;9;9;1576;No
NAirobi S;9;9;1574;No
the sniper 1;9;9;1564;No
Nime Mires;9;9;1542;No
Teancum;9;9;1496;No
LK MIKE;9;9;1494;No
Ant0n32;9;9;1488;No
G3MINIS 0;9;9;1483;No
Selvin502;9;9;1462;No
Miguel1280;9;9;1455;No
SC4RLETT;9;9;1447;No
LordMaragon;9;9;1444;No
VileplumePy;9;9;1435;No
Olli Stark;9;9;1415;No
LauraEniith;9;9;1382;No
dariogrande1;9;9;1373;No
HOOR60;8;9;1340;No
chinchulin72;9;9;1329;No
BartMovil;8;9;1326;No
Espiachino;8;9;1298;No
AAcua;7;7;1236;No
Riccoss;6;6;1041;No
Wakand4;5;6;848;No
WALK1NG;5;6;848;No
Iriz0o;5;5;797;No
Riccos;4;5;692;No
MARC3L0;3;4;508;No
Kwan Hye;3;3;493;No
Acuabb;3;3;462;No
Juancho10;2;2;332;No
LK PRESAGIOZ;2;2;316;No
DrunkenDodo;2;2;309;No
Ave fenix a;1;2;201;No
OdiseoV;0;0;0;No
Drack91;0;0;0;No
ELDEX2;0;0;0;No
